=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.03.10 14:20:57 =~=~=~=~=~=~=~=~=~=~=~=
Current Pitch is:	1.486165 degrees
Current Roll is:	-0.693398 degrees
Current Pitch is:	1.503212 degrees
Current Roll is:	-0.701532 degrees
Current Pitch is:	1.519379 degrees
Current Roll is:	-0.709367 degrees
Current Pitch is:	1.536421 degrees
Current Roll is:	-0.717513 degrees
Current Pitch is:	1.553167 degrees
Current Roll is:	-0.725073 degrees
Current Pitch is:	1.569767 degrees
Current Roll is:	-0.733369 degrees
Current Pitch is:	1.588138 degrees
Current Roll is:	-0.741501 degrees
Current Pitch is:	1.605621 degrees
Current Roll is:	-0.750381 degrees
Current Pitch is:	1.623097 degrees
Current Roll is:	-0.759571 degrees
Current Pitch is:	1.640128 degrees
Current Roll is:	-0.766858 degrees
Current Pitch is:	1.656425 degrees
Current Roll is:	-0.776345 degrees
Current Pitch is:	1.674483 degrees
Current Roll is:	-0.785400 degrees
Current Pitch is:	1.691651 degrees
Current Roll is:	-0.794177 degrees
Current Pitch is:	1.709556 degrees
Current Roll is:	-0.803097 degrees
Current Pitch is:	1.727171 degrees
Current Roll is:	-0.810685 degrees
Current Pitch is:	1.746394 degrees
Current Roll is:	-0.818294 degrees
Current Pitch is:	1.763549 degrees
Current Roll is:	-0.826950 degrees
Current Pitch is:	1.779834 degrees
Current Roll is:	-0.834700 degrees
Current Pitch is:	1.798631 degrees
Current Roll is:	-0.843746 degrees
Current Pitch is:	1.815059 degrees
Current Roll is:	-0.850328 degrees
Current Pitch is:	1.832664 degrees
Current Roll is:	-0.857938 degrees
Current Pitch is:	1.850705 degrees
Current Roll is:	-0.867322 degrees
Current Pitch is:	1.867870 degrees
Current Roll is:	-0.875372 degrees
Current Pitch is:	1.884132 degrees
Current Roll is:	-0.884493 degrees
Current Pitch is:	1.901432 degrees
Current Roll is:	-0.892565 degrees
Current Pitch is:	1.919170 degrees
Current Roll is:	-0.900940 degrees
Current Pitch is:	1.936178 degrees
Current Roll is:	-0.909597 degrees
Current Pitch is:	1.954353 degrees
Current Roll is:	-0.917392 degrees
Current Pitch is:	1.972396 degrees
Current Roll is:	-0.925743 degrees
Current Pitch is:	1.989697 degrees
Current Roll is:	-0.934108 degrees
Current Pitch is:	2.006560 degrees
Current Roll is:	-0.942760 degrees
Current Pitch is:	2.024727 degrees
Current Roll is:	-0.950571 degrees
Current Pitch is:	2.042013 degrees
Current Roll is:	-0.958968 degrees
Current Pitch is:	2.059589 degrees
Current Roll is:	-0.967816 degrees
Current Pitch is:	2.077013 degrees
Current Roll is:	-0.976231 degrees
Current Pitch is:	2.094580 degrees
Current Roll is:	-0.985097 degrees
