=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.03.10 14:20:57 =~=~=~=~=~=~=~=~=~=~=~=
Current Roll is:	1.264594 degrees
Current Pitch is:	10.226792 degrees
Current Roll is:	0.872714 degrees
Current Pitch is:	10.806177 degrees
Current Roll is:	0.364001 degrees
Current Pitch is:	11.469122 degrees
Current Roll is:	0.151412 degrees
Current Pitch is:	12.091210 degrees
Current Roll is:	-0.129693 degrees
Current Pitch is:	13.017358 degrees
Current Roll is:	-0.261355 degrees
Current Pitch is:	13.784592 degrees
Current Roll is:	-0.311636 degrees
Current Pitch is:	14.739869 degrees
Current Roll is:	-0.222230 degrees
Current Pitch is:	15.579192 degrees
Current Roll is:	-0.265950 degrees
Current Pitch is:	16.293190 degrees
Current Roll is:	-0.321901 degrees
Current Pitch is:	16.752947 degrees
Current Roll is:	-0.352103 degrees
Current Pitch is:	17.094971 degrees
Current Roll is:	-0.349505 degrees
Current Pitch is:	17.096380 degrees
Current Roll is:	-0.358953 degrees
Current Pitch is:	17.079973 degrees
Current Roll is:	-0.365971 degrees
Current Pitch is:	17.165539 degrees
Current Roll is:	-0.363637 degrees
Current Pitch is:	17.083397 degrees
Current Roll is:	-0.394526 degrees
Current Pitch is:	17.075968 degrees
Current Roll is:	-0.400623 degrees
Current Pitch is:	17.061096 degrees
Current Roll is:	-0.410676 degrees
Current Pitch is:	16.945932 degrees
Current Roll is:	-0.460557 degrees
Current Pitch is:	16.831629 degrees
Current Roll is:	-0.472915 degrees
Current Pitch is:	16.565508 degrees
Current Roll is:	-0.446089 degrees
Current Pitch is:	16.285019 degrees
Current Roll is:	-0.471249 degrees
Current Pitch is:	16.055746 degrees
Current Roll is:	-0.463853 degrees
Current Pitch is:	15.882139 degrees
Current Roll is:	-0.449525 degrees
Current Pitch is:	15.685638 degrees
Current Roll is:	-0.470965 degrees
Current Pitch is:	15.471887 degrees
Current Roll is:	-0.510343 degrees
Current Pitch is:	15.230447 degrees
Current Roll is:	-0.487238 degrees
Current Pitch is:	14.744102 degrees
Current Roll is:	-0.520659 degrees
Current Pitch is:	14.216536 degrees
Current Roll is:	-0.551311 degrees
Current Pitch is:	13.478637 degrees
Current Roll is:	-0.606055 degrees
Current Pitch is:	13.009933 degrees
Current Roll is:	-0.616449 degrees
Current Pitch is:	12.440531 degrees
Current Roll is:	-0.671735 degrees
Current Pitch is:	11.563686 degrees
Current Roll is:	-0.667525 degrees
Current Pitch is:	10.309527 degrees
Current Roll is:	-0.814959 degrees
Current Pitch is:	8.615375 degrees
Current Roll is:	-1.205362 degrees
Current Pitch is:	7.330552 degrees
Current Roll is:	-1.731929 degrees
Current Pitch is:	6.368315 degrees
Current Roll is:	-2.197956 degrees
Current Pitch is:	5.506926 degrees
Current Roll is:	-2.262718 degrees
Current Pitch is:	5.181650 degrees
Current Roll is:	-2.424232 degrees
Current Pitch is:	5.283770 degrees
Current Roll is:	-2.056385 degrees
Current Pitch is:	5.962112 degrees
Current Roll is:	-0.913377 degrees
Current Pitch is:	6.372410 degrees
Current Roll is:	0.478262 degrees
Current Pitch is:	6.370090 degrees
Current Roll is:	2.078243 degrees
Current Pitch is:	6.340276 degrees
Current Roll is:	3.292848 degrees
Current Pitch is:	6.371209 degrees
Current Roll is:	4.568408 degrees
Current Pitch is:	6.427951 degrees
Current Roll is:	6.006880 degrees
Current Pitch is:	6.519683 degrees
Current Roll is:	7.111286 degrees
Current Pitch is:	6.668955 degrees
Current Roll is:	8.023883 degrees
Current Pitch is:	6.756455 degrees
Current Roll is:	8.847879 degrees
Current Pitch is:	6.669431 degrees
Current Roll is:	8.959835 degrees
Current Pitch is:	6.665191 degrees
Current Roll is:	8.436578 degrees
Current Pitch is:	6.861368 degrees
Current Roll is:	6.945653 degrees
Current Pitch is:	7.022395 degrees
Current Roll is:	4.780001 degrees
Current Pitch is:	7.005101 degrees
Current Roll is:	2.995627 degrees
Current Pitch is:	6.709246 degrees
Current Roll is:	1.088382 degrees
Current Pitch is:	6.511476 degrees
Current Roll is:	-0.759700 degrees
Current Pitch is:	6.234954 degrees
Current Roll is:	-2.069559 degrees
Current Pitch is:	6.028741 degrees
Current Roll is:	-2.599621 degrees
Current Pitch is:	6.842469 degrees
Current Roll is:	-3.497447 degrees
Current Pitch is:	6.923945 degrees
Current Roll is:	-3.376483 degrees
Current Pitch is:	7.570589 degrees
Current Roll is:	-1.697655 degrees
Current Pitch is:	7.592724 degrees
Current Roll is:	-1.635811 degrees
Current Pitch is:	7.542523 degrees
Current Roll is:	-1.570839 degrees
Current Pitch is:	7.579208 degrees
Current Roll is:	-1.602021 degrees
Current Pitch is:	7.598962 degrees
Current Roll is:	-1.614315 degrees
Current Pitch is:	7.616659 degrees
Current Roll is:	-1.624535 degrees
Current Pitch is:	7.633770 degrees
Current Roll is:	-1.632828 degrees
Current Pitch is:	7.651310 degrees
Current Roll is:	-1.642341 degrees
Current Pitch is:	7.667971 degrees
Current Roll is:	-1.652279 degrees
Current Pitch is:	7.684457 degrees
Current Roll is:	-1.661898 degrees
Current Pitch is:	7.700953 degrees
Current Roll is:	-1.672933 degrees
Current Pitch is:	7.718805 degrees
Current Roll is:	-1.683079 degrees
Current Pitch is:	7.735464 degrees
Current Roll is:	-1.693288 degrees
Current Pitch is:	7.751974 degrees
Current Roll is:	-1.703648 degrees
Current Pitch is:	7.768646 degrees
Current Roll is:	-1.713932 degrees
Current Pitch is:	7.786470 degrees
Current Roll is:	-1.724026 degrees
Current Pitch is:	7.804707 degrees
Current Roll is:	-1.733803 degrees
Current Pitch is:	7.823114 degrees
Current Roll is:	-1.744
